Ligne	Composant	Colonne	Ancien	Nouveau	Preuve (commit + verification)
L164	OrigamSelect	Gravite max	majeur	bloquant	C6 (a11y) casse a l'echelle du catalogue entier des Select -- correspond a la definition du classeur meme ('bloquant = ... a11y cassee'). #622 ouvert, non corrige sur develop.
L164	OrigamSelect	Notes	Story L209-246 mensongere : Variants Events - click:control ...	NOUVEAU DEFAUT BLOQUANT (#622, ouvert) : aria-label/title de CHAQUE OrigamSelect...	annotation, pas un verdict
L70	OrigamCounter	C2	defaut	conforme	deja corrige sur develop, SHA 45a65956 (ancetre confirme de HEAD), relaye par #628
L70	OrigamCounter	Gravite max	majeur	aucun	seul defaut restant (C2) corrige
L59	OrigamClipboard	C2	defaut	conforme	deja corrige sur develop, SHA ecdd8863 + e9bce4a1 (ancetres confirmes) ; slot feedback present l.34-38, relaye par #628
L59	OrigamClipboard	C3	defaut	conforme	deja corrige sur develop, SHA ecdd8863 + e9bce4a1 (ancetres confirmes) ; slot feedback present l.34-38, relaye par #628
L59	OrigamClipboard	C4	defaut	conforme	deja corrige sur develop, SHA ecdd8863 + e9bce4a1 (ancetres confirmes) ; slot feedback present l.34-38, relaye par #628
L59	OrigamClipboard	C7	defaut	conforme	deja corrige sur develop, SHA ecdd8863 + e9bce4a1 (ancetres confirmes) ; slot feedback present l.34-38, relaye par #628
L59	OrigamClipboard	C8	defaut	conforme	deja corrige sur develop, SHA ecdd8863 + e9bce4a1 (ancetres confirmes) ; slot feedback present l.34-38, relaye par #628
L59	OrigamClipboard	Gravite max	majeur	aucun	C1,C5,C6 deja conformes ; C2/C3/C4/C7/C8 corriges
L15	OrigamBracketRound	C2	defaut	conforme	deja corrige sur develop, SHA c912fd37 (ancetre confirme), relaye par #628
L15	OrigamBracketRound	C7	defaut	conforme	deja corrige sur develop, SHA c912fd37 (ancetre confirme), relaye par #628
L15	OrigamBracketRound	Gravite max	majeur	aucun	C1,C3,C4,C5,C6,C8 deja conformes ; C2/C7 corriges
L26	OrigamCarousel	C2	defaut	conforme	deja corrige sur develop, SHA 6c67db66 (ancetre confirme) : patron WAI-ARIA porte par OrigamWindow (#474), relaye par #628
L26	OrigamCarousel	Gravite max	majeur	aucun	seul defaut restant (C2) corrige
L27	OrigamCarouselItem	C6	defaut	conforme	FAUX POSITIF requalifie (#628) : ce que le classeur notait C6-defaut est en realite une QUALITE, pas un defaut -- mesure relayee, composant deja sur develop, aucun changement de code necessaire.
L27	OrigamCarouselItem	Gravite max	majeur	aucun	seul defaut restant (C6) etait un faux positif
L69	OrigamContextualMenu	C3	defaut	conforme	deja corrige sur develop, SHA 0b206163 (ancetre confirme), relaye par #628
L69	OrigamContextualMenu	Gravite max	majeur	aucun	seul defaut restant (C3) corrige
L186	OrigamTextMask	C2	defaut	conforme	FAUX POSITIF prouve par mesure navigateur (#624, merge f79847ee) : --origam-text-mask---font-size-default resout 2.25rem -> 36px calcule. Le var 'principal' absent est le crochet d'extension, pas un oubli. Preuve par mutation (77px).
L186	OrigamTextMask	Gravite max	majeur	aucun	seul defaut (C2) etait un faux positif
L7	OrigamAvatar	C5	defaut	conforme	#624 (merge f79847ee) : avatar-hover-emit.spec.ts prouve (pas suppose) que le constat C5 du 2026-09-01 est perime -- Avatar est passe sur useStateFlag comme Badge.
L8	OrigamAvatarGroup	C5	defaut	conforme	#624 (merge f79847ee) : meme mesure qu'Avatar, migration useStateFlag confirmee, constat C5 perime.
L76	OrigamDataTableFooter	C6	defaut	conforme	#624 (merge f79847ee) / #371 : selecteur items-per-page annoncait 'Open' (aria-label du OrigamSelect interne). Corrige via aria-labelledby (prime sur aria-label). A/B navigateur 3 rouge -> 5 vert.
L76	OrigamDataTableFooter	Gravite max	majeur	aucun	seul defaut (C6) corrige
L147	OrigamPagination	C6	defaut	conforme	#623 (merge 8a158a28) / #446 : ariaLabel/firstAriaLabel/previousAriaLabel/nextAriaLabel/lastAriaLabel rendaient la cle brute ('origam.pagination.aria_label.first') sur la <nav> racine et les 4 boutons de navigation. Filet neuf : 6 rouges avant -> 47/47 vert.
L67	OrigamCommandPalette	C8	defaut	conforme	#623 (merge 8a158a28) / #404 : placeholder='Search...' et emptyText='No results' en dur (withDefaults). Traduits, filet neuf 30/30 vert.
L95	OrigamDrawer	C8	defaut	conforme	#623 (merge 8a158a28) / #419 : :aria-label="name || 'Navigation'" -- chaine derriere ||, angle mort du detecteur C8. Nouvelle cle origam.drawer.aria_label (en+fr), lue en differe (ADR-005). Filet 27/27.
L101	OrigamField	C1	defaut	conforme	#625 (merge 50acfbe8) / #421 #422 : useStyle(fieldStyles) appele sans 2e argument -> racine rendait origam-field-<uid> au lieu de origam-field-<id-consommateur>. Id derive ${id}-field retenu (un id direct aurait duplique l'id du vrai controle et casse les label[for]).
L101	OrigamField	C5	defaut	conforme	#612 (merge 5f6ee2ba) : SHA 6156d8b5 (ancetre confirme) -- aria-required ajoute dans slotProps, regle les consommateurs TextField/TextareaField/Select d'un coup (#422).
L102	OrigamFileField	C1	defaut	conforme	#625 (merge 50acfbe8) / #418 : 4 props mortes rendues vivantes -- chipProps masquee par un computed homonyme (l.769), persistentPlaceholder non transmissible (ni IInputProps ni IFieldProps), downloadable/downloadIcon non declarees sur les sous-composants (grep=0). A/B e2e 6 rouge -> 8 vert.
L102	OrigamFileField	C4	defaut	conforme	#625 (merge 50acfbe8) : 3e argument de useVModel deplace en getter (ADR-005 respecte formellement). RESERVE EXPLICITE DE L'AUTEUR : aucun effet observable mesure (wrapInArray(null) == wrapInArray([])) -- ne pas presenter comme un bug utilisateur reellement corrige, seulement une mise en conformite de forme.
L102	OrigamFileField	Gravite max	majeur	aucun	C1 et C4 seuls defauts, tous deux traites
L103	OrigamFileFieldDragNDropItem	C1	defaut	conforme	deja corrige, SHA 42d04dbe (ancetre confirme), confirme 2x (#612 et #625) : showSize cache bien la taille
L103	OrigamFileFieldDragNDropItem	C6	defaut	conforme	deja corrige, SHA 42d04dbe (ancetre confirme) : nom accessible du bouton de suppression
L104	OrigamFileFieldListItem	C1	defaut	conforme	deja corrige, SHA 42d04dbe (ancetre confirme), confirme 2x (#612 et #625) : showSize cache bien la taille
L104	OrigamFileFieldListItem	C6	defaut	conforme	deja corrige, SHA 42d04dbe (ancetre confirme) : nom accessible du bouton de suppression
L161	OrigamRatingField	C7	defaut	conforme	#625 (merge 50acfbe8) / #452 : Variant 'Slots - ItemLabel' mentait (#itemLabel destructure un scope que les 2 sites d'appel ne fournissaient pas -> <strong> vides). Sites d'appel enrichis. 3 props sans doc, 3 sans controle, 2 slots sans Variant traites au meme geste.
L161	OrigamRatingField	Gravite max	majeur	aucun	seul defaut (C7) corrige
L41	OrigamChartPolar	C8	defaut	conforme	#611 (merge 4c1b3fce) : 39 chaines/noms accessibles traduits (ariaLabel/svgAriaLabel/svgTitle/libelles d'element), 3 formes d'aveuglement du detecteur identifiees (derriere ??, derriere return de garde, hors sink ARIA). + #627 (merge 2d1cb125) : les 11 <desc> SVG restants traduits et accordes via Intl.PluralRules (resolvePlural). Mutation testee dans les deux PR (74/74 puis 70/70).
L42	OrigamChartPolarBar	C8	defaut	conforme	#611 (merge 4c1b3fce) : 39 chaines/noms accessibles traduits (ariaLabel/svgAriaLabel/svgTitle/libelles d'element), 3 formes d'aveuglement du detecteur identifiees (derriere ??, derriere return de garde, hors sink ARIA). + #627 (merge 2d1cb125) : les 11 <desc> SVG restants traduits et accordes via Intl.PluralRules (resolvePlural). Mutation testee dans les deux PR (74/74 puis 70/70).
L43	OrigamChartPyramid	C8	defaut	conforme	#611 (merge 4c1b3fce) : 39 chaines/noms accessibles traduits (ariaLabel/svgAriaLabel/svgTitle/libelles d'element), 3 formes d'aveuglement du detecteur identifiees (derriere ??, derriere return de garde, hors sink ARIA). + #627 (merge 2d1cb125) : les 11 <desc> SVG restants traduits et accordes via Intl.PluralRules (resolvePlural). Mutation testee dans les deux PR (74/74 puis 70/70).
L44	OrigamChartRadar	C8	defaut	conforme	#611 (merge 4c1b3fce) : 39 chaines/noms accessibles traduits (ariaLabel/svgAriaLabel/svgTitle/libelles d'element), 3 formes d'aveuglement du detecteur identifiees (derriere ??, derriere return de garde, hors sink ARIA). + #627 (merge 2d1cb125) : les 11 <desc> SVG restants traduits et accordes via Intl.PluralRules (resolvePlural). Mutation testee dans les deux PR (74/74 puis 70/70).
L45	OrigamChartRangeSelector	C8	defaut	conforme	#611 (merge 4c1b3fce) : 39 chaines/noms accessibles traduits (ariaLabel/svgAriaLabel/svgTitle/libelles d'element), 3 formes d'aveuglement du detecteur identifiees (derriere ??, derriere return de garde, hors sink ARIA). + #627 (merge 2d1cb125) : les 11 <desc> SVG restants traduits et accordes via Intl.PluralRules (resolvePlural). Mutation testee dans les deux PR (74/74 puis 70/70).
L46	OrigamChartSankey	C8	defaut	conforme	#611 (merge 4c1b3fce) : 39 chaines/noms accessibles traduits (ariaLabel/svgAriaLabel/svgTitle/libelles d'element), 3 formes d'aveuglement du detecteur identifiees (derriere ??, derriere return de garde, hors sink ARIA). + #627 (merge 2d1cb125) : les 11 <desc> SVG restants traduits et accordes via Intl.PluralRules (resolvePlural). Mutation testee dans les deux PR (74/74 puis 70/70).
L47	OrigamChartSparkline	C8	defaut	conforme	#611 (merge 4c1b3fce) : 39 chaines/noms accessibles traduits (ariaLabel/svgAriaLabel/svgTitle/libelles d'element), 3 formes d'aveuglement du detecteur identifiees (derriere ??, derriere return de garde, hors sink ARIA). + #627 (merge 2d1cb125) : les 11 <desc> SVG restants traduits et accordes via Intl.PluralRules (resolvePlural). Mutation testee dans les deux PR (74/74 puis 70/70).
L48	OrigamChartStreamgraph	C8	defaut	conforme	#611 (merge 4c1b3fce) : 39 chaines/noms accessibles traduits (ariaLabel/svgAriaLabel/svgTitle/libelles d'element), 3 formes d'aveuglement du detecteur identifiees (derriere ??, derriere return de garde, hors sink ARIA). + #627 (merge 2d1cb125) : les 11 <desc> SVG restants traduits et accordes via Intl.PluralRules (resolvePlural). Mutation testee dans les deux PR (74/74 puis 70/70).
L49	OrigamChartSunburst	C8	defaut	conforme	#611 (merge 4c1b3fce) : 39 chaines/noms accessibles traduits (ariaLabel/svgAriaLabel/svgTitle/libelles d'element), 3 formes d'aveuglement du detecteur identifiees (derriere ??, derriere return de garde, hors sink ARIA). + #627 (merge 2d1cb125) : les 11 <desc> SVG restants traduits et accordes via Intl.PluralRules (resolvePlural). Mutation testee dans les deux PR (74/74 puis 70/70).
L50	OrigamChartTooltip	C8	defaut	conforme	#611 (merge 4c1b3fce) : 39 chaines/noms accessibles traduits (ariaLabel/svgAriaLabel/svgTitle/libelles d'element), 3 formes d'aveuglement du detecteur identifiees (derriere ??, derriere return de garde, hors sink ARIA). + #627 (merge 2d1cb125) : les 11 <desc> SVG restants traduits et accordes via Intl.PluralRules (resolvePlural). Mutation testee dans les deux PR (74/74 puis 70/70).
L51	OrigamChartTreemap	C8	defaut	conforme	#611 (merge 4c1b3fce) : 39 chaines/noms accessibles traduits (ariaLabel/svgAriaLabel/svgTitle/libelles d'element), 3 formes d'aveuglement du detecteur identifiees (derriere ??, derriere return de garde, hors sink ARIA). + #627 (merge 2d1cb125) : les 11 <desc> SVG restants traduits et accordes via Intl.PluralRules (resolvePlural). Mutation testee dans les deux PR (74/74 puis 70/70).
L52	OrigamChartVariwide	C8	defaut	conforme	#611 (merge 4c1b3fce) : 39 chaines/noms accessibles traduits (ariaLabel/svgAriaLabel/svgTitle/libelles d'element), 3 formes d'aveuglement du detecteur identifiees (derriere ??, derriere return de garde, hors sink ARIA). + #627 (merge 2d1cb125) : les 11 <desc> SVG restants traduits et accordes via Intl.PluralRules (resolvePlural). Mutation testee dans les deux PR (74/74 puis 70/70).
L53	OrigamChartWordCloud	C8	defaut	conforme	#611 (merge 4c1b3fce) : 39 chaines/noms accessibles traduits (ariaLabel/svgAriaLabel/svgTitle/libelles d'element), 3 formes d'aveuglement du detecteur identifiees (derriere ??, derriere return de garde, hors sink ARIA). + #627 (merge 2d1cb125) : les 11 <desc> SVG restants traduits et accordes via Intl.PluralRules (resolvePlural). Mutation testee dans les deux PR (74/74 puis 70/70).
L34	OrigamChartGauge	C7	defaut	conforme	#626 (merge 49c5a9a9) : OrigamChartGauge.md annoncait height par defaut 360, le composant rend 300 (.vue:174) -- corrige. categories (useUnsupportedProp) n'avait aucune ligne de doc -- ajoutee.
L40	OrigamChartPictorial	C7	defaut	conforme	#626 (merge 49c5a9a9) : OrigamChartPictorial.mode est une prop VIVANTE (pilotee par un controle de story existant) mais absente de la table de props -- ajoutee. NOTE : le C1 deja 'conforme' de cette ligne masquait en realite un vrai bug -- Pictorial jetait silencieusement 'class' (seul des 6 Pictorial/Honeycomb/Map/Pareto/Gauge/Heatmap a ne pas re-binder props.class) -- corrige par la meme PR. Le verdict C1 etait juste par coincidence avant le fix, il est juste pour de bonnes raisons apres.
L36	OrigamChartHoneycomb	Notes	NON INSPECTE individuellement (verdict initial). Verdicts C1...	C2 PARTIELLEMENT ameliore par #626 (merge 49c5a9a9) : useMargin/usePadding scind...	annotation, pas un verdict
L38	OrigamChartMap	Notes	NON INSPECTE individuellement. Verdicts C1/C3/C6/C7 non eval...	C2 PARTIELLEMENT ameliore par #626 (merge 49c5a9a9) : useMargin/usePadding scind...	annotation, pas un verdict
L39	OrigamChartPareto	Notes	NON INSPECTE individuellement. Verdicts C1/C3/C6/C7 non eval...	C2 PARTIELLEMENT ameliore par #626 (merge 49c5a9a9) : useMargin/usePadding scind...	annotation, pas un verdict
L34	OrigamChartGauge	Notes	Lu (grep) ET monte au runtime (Histoire :6006, Design varian...	DEFAUT HORS CLASSEUR RESIDUEL, PAS DE TICKET : le canal padding d'echelle (paddi...	annotation, pas un verdict
L35	OrigamChartHeatmap	Notes	NON INSPECTE individuellement. Verdicts C1/C3/C6/C7 non eval...	DEFAUT HORS CLASSEUR RESIDUEL, PAS DE TICKET : le canal padding d'echelle (paddi...	annotation, pas un verdict
L40	OrigamChartPictorial	Notes	NON INSPECTE individuellement. Verdicts C1/C3/C6/C7 non eval...	DEFAUT HORS CLASSEUR RESIDUEL, PAS DE TICKET : le canal padding d'echelle (paddi...	annotation, pas un verdict
L148	OrigamParallax	C2	defaut	conforme	#617 (merge a36095c3) : token --origam-parallax---transition-duration retire des 4 feuilles + tokens.type.ts + baseline. Il etait pose en style INLINE depuis une prop du parent : le token ne pouvait STRUCTURELLEMENT jamais gagner. Doc corrigee avec encadre expliquant le choix (PROPS-FIRST).
L148	OrigamParallax	C7	defaut	conforme	#617 (merge a36095c3) : contrat type="custom" dessine avant implementation (noms/valeur/unite/pose documentes), doc a jour. Egalement corrige dans cette PR : scroll-progress jamais emis en CSS scroll-driven (mutation e2e : progress bloque a 0.000 -> 0.000-1.000).
L148	OrigamParallax	Gravite max	majeur	aucun	C2 et C7 tous deux corriges
L148	OrigamParallax	Notes	OrigamChartGauge...	NOTE CORRIGEE 2026-09-10 : cette cellule contenait par erreur le texte 'OrigamCh...	corruption detectee et corrigee, cf. brief de campagne
L22	OrigamCalendar	Notes	C2 : les 43 tokens du composant ne sont JAMAIS generes (set ...	A RE-MESURER (pas 'conforme', pas confirme 'defaut') : ce verdict C2 est formule...	annotation, pas un verdict
L24	OrigamCardHeader	Notes	C2 : toute la surface de valeurs par defaut est ecrite en du...	A RE-MESURER (pas 'conforme', pas confirme 'defaut') : ce verdict C2 est formule...	annotation, pas un verdict
L60	OrigamCode	Notes	C2 : les 12 tokens code.syntax.* sont declares, correctement...	A RE-MESURER (pas 'conforme', pas confirme 'defaut') : ce verdict C2 est formule...	annotation, pas un verdict
L94	OrigamDivider	Notes	Deux inspections independantes, reconciliees. CAS DE REFEREN...	A RE-MESURER (pas 'conforme', pas confirme 'defaut') : ce verdict C2 est formule...	annotation, pas un verdict
L96	OrigamEmptyState	Notes	Les deux agents se contredisaient sur C2 ; j'ai tranche en m...	A RE-MESURER (pas 'conforme', pas confirme 'defaut') : ce verdict C2 est formule...	annotation, pas un verdict
L108	OrigamCol	Notes	BUG D'ARCHITECTURE DE TOKENS, pas de rendu. Le pipeline Styl...	A RE-MESURER (pas 'conforme', pas confirme 'defaut') : ce verdict C2 est formule...	annotation, pas un verdict
L124	OrigamKbd	Notes	Composant d'affichage pur (kbd natif), tres propre sur l'acc...	A RE-MESURER (pas 'conforme', pas confirme 'defaut') : ce verdict C2 est formule...	annotation, pas un verdict
L216	OrigamWatermark	Notes	C1-C8 verifies sur le vrai fichier + tests existants, aucun ...	A RE-MESURER (pas 'conforme', pas confirme 'defaut') : ce verdict C2 est formule...	annotation, pas un verdict
L146	OrigamOverlayScrim	Ticket	J157	TICKET INVALIDE (etait 'J157', format non reconnu) - a rouvrir/retrouver	gh issue view ne resout aucun ticket 'J157' ; format non standard. Cf. methodologie : verifier le numero avant de le citer.
L16	OrigamBreadcrumb	Notes	C1 : la prop active de la racine est INERTE sur le chemin d'...	C1 (regle explicite du tableau, prop morte confirmee) : correctif ecrit pour #38...	#386 corrige sur branche non mergee, verifie via etat des PR ce jour
